Stock,Weight (%),Allocated (₹),Pred Day 2,Actual Day 2,Return (%),P&L (₹)
ADANIPOWER.NS,5.62,56162.59,214.15,221.33,-1.41,-790.57
ASIANENE.NS,6.48,64757.33,288.65,313.45,2.35,1522.46
BAJAJCON.NS,30.65,306515.76,530.37,537.45,3.66,11233.1
BHARATFORG.NS,2.44,24388.1,1946.93,1913.1,-1.84,-447.99
NATCOPHARM.NS,10.94,109438.16,1174.73,1199.1,-0.44,-481.59
NYKAA.NS,7.92,79185.98,266.2,272.4,-0.22,-174.04
OFSS.NS,16.37,163747.93,8960.1,9015.0,1.24,2032.02
POLICYBZR.NS,11.6,115950.98,1639.61,1688.3,0.41,475.83
SBIN.NS,7.22,72184.7,954.18,963.2,0.07,48.75
STARHEALTH.NS,0.77,7668.47,507.4,501.7,-1.05,-80.16
