Sector,Ticker,Data-Driven Justification
Banking,SBIN.NS,Sector-Based Rationale (High Momentum)
Banking,J&KBANK.NS,Sector-Based Rationale (High Momentum)
Banking,BANKBARODA.NS,Sector-Based Rationale (High Momentum)
IT,POLICYBZR.NS,Rolling Standard Deviation (Volatility Profile)
IT,OFSS.NS,Rolling Standard Deviation (Volatility Profile)
Pharma,MANKIND.NS,Seasonal Decomposition (Strong Cyclical Trends)
Pharma,NGLFINE.NS,Seasonal Decomposition (Strong Cyclical Trends)
Pharma,SPARC.NS,Seasonal Decomposition (Strong Cyclical Trends)
Pharma,NATCOPHARM.NS,Seasonal Decomposition (Strong Cyclical Trends)
FMCG,CARYSIL.NS,Rolling Standard Deviation (Volatility Profile)
FMCG,BAJAJCON.NS,Rolling Standard Deviation (Volatility Profile)
Auto,BAJAJ-AUTO.NS,Sector-Based Rationale (High Momentum)
Auto,BHARATFORG.NS,Sector-Based Rationale (High Momentum)
Energy,ASIANENE.NS,Rolling Standard Deviation (Volatility Profile)
Infra,LT.NS,Sector-Based Rationale (High Momentum)
Insurance,SBILIFE.NS,Seasonal Decomposition (Strong Cyclical Trends)
Insurance,STARHEALTH.NS,Seasonal Decomposition (Strong Cyclical Trends)
Iron & Steel,GPIL.NS,Rolling Standard Deviation (Volatility Profile)
Iron & Steel,JSWSTEEL.NS,Rolling Standard Deviation (Volatility Profile)
Iron & Steel,TATASTEEL.NS,Rolling Standard Deviation (Volatility Profile)
Logistics,ADANIPORTS.NS,Sector-Based Rationale (High Momentum)
Retailing,NYKAA.NS,Seasonal Decomposition (Strong Cyclical Trends)
Telecom,TATACOMM.NS,Rolling Standard Deviation (Volatility Profile)
Telecom,IDEA.NS,Rolling Standard Deviation (Volatility Profile)
Power,ADANIPOWER.NS,Sector-Based Rationale (High Momentum)
Power,ADANIGREEN.NS,Sector-Based Rationale (High Momentum)
