Stock,Model,RMSE,MAPE,Dir_Accuracy
SBIN.NS,ARIMA,89.01,0.072,Incorrect
SBIN.NS,Exp Smoothing,57.19,0.05,Correct
J&KBANK.NS,ARIMA,8.47,0.0752,Correct
J&KBANK.NS,Exp Smoothing,15.88,0.1447,Incorrect
BANKBARODA.NS,ARIMA,25.35,0.0724,Incorrect
BANKBARODA.NS,Exp Smoothing,16.08,0.053,Correct
POLICYBZR.NS,ARIMA,73.66,0.0325,Correct
POLICYBZR.NS,Exp Smoothing,93.05,0.0418,Correct
OFSS.NS,ARIMA,491.87,0.0514,Correct
OFSS.NS,Exp Smoothing,870.3,0.0905,Incorrect
MANKIND.NS,ARIMA,209.89,0.0737,Incorrect
MANKIND.NS,Exp Smoothing,202.02,0.0752,Incorrect
NGLFINE.NS,ARIMA,267.11,0.1764,Incorrect
NGLFINE.NS,Exp Smoothing,284.29,0.1877,Incorrect
SPARC.NS,ARIMA,21.58,0.1417,Incorrect
SPARC.NS,Exp Smoothing,19.35,0.127,Correct
NATCOPHARM.NS,ARIMA,76.78,0.0771,Incorrect
NATCOPHARM.NS,Exp Smoothing,75.81,0.076,Correct
CARYSIL.NS,ARIMA,67.43,0.0559,Incorrect
CARYSIL.NS,Exp Smoothing,49.12,0.042,Correct
BAJAJCON.NS,ARIMA,43.63,0.15,Incorrect
BAJAJCON.NS,Exp Smoothing,41.57,0.1417,Correct
BAJAJ-AUTO.NS,ARIMA,486.75,0.0486,Correct
BAJAJ-AUTO.NS,Exp Smoothing,260.91,0.0233,Correct
BHARATFORG.NS,ARIMA,102.15,0.0699,Correct
BHARATFORG.NS,Exp Smoothing,95.79,0.0681,Correct
ASIANENE.NS,ARIMA,42.22,0.1013,Incorrect
ASIANENE.NS,Exp Smoothing,37.1,0.0939,Incorrect
LT.NS,ARIMA,233.21,0.0476,Incorrect
LT.NS,Exp Smoothing,139.27,0.0338,Correct
SBILIFE.NS,ARIMA,91.55,0.0383,Incorrect
SBILIFE.NS,Exp Smoothing,72.1,0.0348,Correct
STARHEALTH.NS,ARIMA,43.05,0.0737,Correct
STARHEALTH.NS,Exp Smoothing,73.21,0.1325,Incorrect
GPIL.NS,ARIMA,58.57,0.2022,Correct
GPIL.NS,Exp Smoothing,54.82,0.188,Correct
JSWSTEEL.NS,ARIMA,95.51,0.0693,Correct
JSWSTEEL.NS,Exp Smoothing,59.0,0.0392,Correct
TATASTEEL.NS,ARIMA,10.41,0.0488,Incorrect
TATASTEEL.NS,Exp Smoothing,6.0,0.0282,Correct
ADANIPORTS.NS,ARIMA,61.54,0.0352,Incorrect
ADANIPORTS.NS,Exp Smoothing,85.81,0.0524,Correct
NYKAA.NS,ARIMA,38.68,0.1332,Incorrect
NYKAA.NS,Exp Smoothing,48.72,0.168,Incorrect
TATACOMM.NS,ARIMA,112.89,0.0547,Correct
TATACOMM.NS,Exp Smoothing,101.58,0.0479,Correct
IDEA.NS,ARIMA,2.06,0.1624,Incorrect
IDEA.NS,Exp Smoothing,2.27,0.1764,Incorrect
ADANIPOWER.NS,ARIMA,25.07,0.1291,Correct
ADANIPOWER.NS,Exp Smoothing,18.99,0.0953,Correct
ADANIGREEN.NS,ARIMA,50.55,0.0389,Incorrect
ADANIGREEN.NS,Exp Smoothing,52.27,0.0411,Correct
