Stock,Pred Day 1,Actual Day 1,Pred Day 2,Actual Day 2,Actual Return (%),P&L (₹)
LT.NS,3943.58,3940.4,3945.77,3909.0,-0.8,-566.12
SBILIFE.NS,1970.32,1866.7,1971.2,1864.5,-0.12,-80.22
SBIN.NS,868.45,962.55,868.95,963.2,0.07,39.77
ADANIPORTS.NS,1556.17,1773.4,1557.04,1795.1,1.22,689.14
MANKIND.NS,2385.7,2462.2,2386.48,2503.0,1.66,875.98
BAJAJ-AUTO.NS,9009.1,10451.0,9013.94,10377.5,-0.7,-359.37
STARHEALTH.NS,369.02,507.0,368.59,501.7,-1.05,-494.78
NYKAA.NS,188.82,273.0,188.68,272.4,-0.22,-100.58
BHARATFORG.NS,1362.79,1948.9,1363.48,1913.1,-1.84,-796.87
OFSS.NS,9265.03,8904.5,9270.51,9015.0,1.24,530.9
TATACOMM.NS,1805.86,1656.1,1806.49,1680.0,1.44,568.33
BANKBARODA.NS,269.21,267.8,269.38,261.4,-2.39,-915.57
ADANIGREEN.NS,1003.8,1414.9,1003.71,1379.0,-2.54,-957.45
J&KBANK.NS,124.58,132.05,124.66,130.7,-1.02,-383.13
TATASTEEL.NS,171.94,221.13,172.04,216.84,-1.94,-718.28
ADANIPOWER.NS,130.57,224.49,130.67,221.33,-1.41,-490.04
JSWSTEEL.NS,1100.7,1296.9,1101.29,1278.8,-1.4,-459.67
NGLFINE.NS,1074.61,2271.7,1073.98,2350.5,3.47,1102.99
BAJAJCON.NS,213.41,518.45,213.43,537.45,3.66,1076.27
CARYSIL.NS,947.16,912.35,947.77,918.45,0.67,171.3
POLICYBZR.NS,1904.42,1681.4,1904.98,1688.3,0.41,104.96
GPIL.NS,190.35,289.25,190.4,287.9,-0.47,-101.17
ASIANENE.NS,309.64,306.25,309.78,313.45,2.35,509.08
IDEA.NS,7.01,12.97,7.01,12.95,-0.15,-31.99
NATCOPHARM.NS,926.99,1204.4,926.98,1199.1,-0.44,-75.63
SPARC.NS,156.88,170.08,156.85,163.65,-3.78,-421.86
