Stock,Pred Day 1,Actual Day 1,Pred Day 2,Actual Day 2,Actual Return (%),P&L (₹)
OFSS.NS,7800.26,8904.5,7804.28,9015.0,1.24,1352.2
J&KBANK.NS,105.07,132.05,105.13,130.7,-1.02,-1104.66
MANKIND.NS,2210.15,2462.2,2210.75,2503.0,1.66,1122.58
SPARC.NS,129.62,170.08,129.56,163.65,-3.78,-2470.66
ADANIPORTS.NS,1537.14,1773.4,1537.93,1795.1,1.22,677.97
ASIANENE.NS,288.37,306.25,288.48,313.45,2.35,1263.85
LT.NS,4271.41,3940.4,4273.7,3909.0,-0.8,-330.99
CARYSIL.NS,940.55,912.35,941.11,918.45,0.67,271.96
SBILIFE.NS,2078.77,1866.7,2079.66,1864.5,-0.12,-46.69
SBIN.NS,1010.36,962.55,1010.93,963.2,0.07,23.81
BAJAJ-AUTO.NS,9768.79,10451.0,9773.86,10377.5,-0.7,-218.54
STARHEALTH.NS,413.11,507.0,412.74,501.7,-1.05,-304.92
NYKAA.NS,255.45,273.0,255.37,272.4,-0.22,-62.69
BHARATFORG.NS,1526.25,1948.9,1527.01,1913.1,-1.84,-498.66
POLICYBZR.NS,1910.25,1681.4,1910.78,1688.3,0.41,107.81
NATCOPHARM.NS,892.82,1204.4,892.79,1199.1,-0.44,-111.34
TATACOMM.NS,1872.95,1656.1,1873.59,1680.0,1.44,362.62
BANKBARODA.NS,310.75,267.8,310.94,261.4,-2.39,-589.78
ADANIGREEN.NS,998.24,1414.9,998.15,1379.0,-2.54,-618.86
TATASTEEL.NS,185.17,221.13,185.27,216.84,-1.94,-465.11
ADANIPOWER.NS,155.12,224.49,155.23,221.33,-1.41,-321.32
JSWSTEEL.NS,1167.91,1296.9,1168.51,1278.8,-1.4,-305.89
NGLFINE.NS,1290.6,2271.7,1290.17,2350.5,3.47,738.67
BAJAJCON.NS,260.68,518.45,260.73,537.45,3.66,736.32
GPIL.NS,274.56,289.25,274.67,287.9,-0.47,-75.47
IDEA.NS,12.11,12.97,12.11,12.95,-0.15,-24.18
