Stock,Dec 2025 Volatility (Risk),Overall Trend Status
SBIN.NS,0.0087,Strong Upward
J&KBANK.NS,0.0137,Sideways / Consolidation
BANKBARODA.NS,0.0134,Strong Upward
POLICYBZR.NS,0.0201,Sideways / Consolidation
OFSS.NS,0.012,Sideways / Consolidation
MANKIND.NS,0.0097,Downward
NGLFINE.NS,0.0162,Strong Upward
SPARC.NS,0.0461,Downward
NATCOPHARM.NS,0.0299,Sideways / Consolidation
CARYSIL.NS,0.0201,Strong Upward
BAJAJCON.NS,0.0175,Strong Upward
BAJAJ-AUTO.NS,0.0101,Strong Upward
BHARATFORG.NS,0.0119,Strong Upward
ASIANENE.NS,0.0238,Sideways / Consolidation
LT.NS,0.0072,Strong Upward
SBILIFE.NS,0.0076,Strong Upward
STARHEALTH.NS,0.0109,Strong Upward
GPIL.NS,0.0237,Strong Upward
JSWSTEEL.NS,0.0156,Strong Upward
TATASTEEL.NS,0.0139,Strong Upward
ADANIPORTS.NS,0.0091,Strong Upward
NYKAA.NS,0.0112,Strong Upward
TATACOMM.NS,0.0131,Strong Upward
IDEA.NS,0.0248,Strong Upward
ADANIPOWER.NS,0.0148,Strong Upward
ADANIGREEN.NS,0.0136,Sideways / Consolidation
